keys,en,ru,zh_CN
TR_ARROW_KEYS_LR,Arrow Keys (L/R),Стрелки (Л/П),方向键 (左右)
TR_ARROW_KEYS_UD,Arrow Keys (U/D),Стрелки (В/Н),方向键 (上下)
TR_ASSETS,Assets,Ресурсы,资源
TR_ASSET_MODEL_DEMO,Asset Demo,Ресурсы,资源演示模型
TR_AURA,Aura,Аура,光环
TR_AUTO_LOAD_MODEL,Auto-Load Model,Автозагрузка модели,自动加载模型
TR_AUTO_ROTATION,Auto Rotation,Автоповорот,自动旋转
TR_AUTO_SAVE,Auto-Save,Автосохранение,自动保存
TR_AUTO_START,Auto-Start,Автозапуск,自动启动
TR_AUTO_WAG,Auto Wag,Автопокачивание,自动摆动
TR_AWAITING_INPUT,Awaiting Input…,Ожидание ввода…,...等待输入...
TR_BACKEND,Backend,Бэкенд,后端
TR_BASIC_CONCEPTS_FULL,"Some sliders use Amp and Freq. Here is a basic explanation: Amplitude controls how far the object moves, and Frequency controls how fast it moves from + to - over time.","Некоторые ползунки используют амплитуду и частоту. Амплитуда задаёт силу отклонения, а частота — скорость движения от + к - со временем.",好的，请耐心听我说！您可能已经注意到这里的许多的频率和振幅滑块。如果您不知道它们是如何工作的，这里有一个非常基本的解释！振幅是主要值，物体将达到多高或多低，频率是放大器在给定时间内从+到-的速度。
TR_BASIC_CONTROLS_FULL,"Sprite Controls:\n- Move Sprite: Click and drag.\n- Move Origin: Use the arrow keys, or hold Ctrl and click where you want the origin.\n- Use the mouse wheel on sliders for finer control.\n\nInput Remap:\n- Click the state button you want to remap,\n then press the new key.\n- Change States with Input captures input even when minimized, if enabled.\n\nBounce Controls:\n- Click the top bar of the bounce panel to adjust bounce and gravity.\n\nMouse Controls:\n- Mouse wheel: Zoom in or out.\n- Middle mouse button: Pan the camera.","Управление спрайтом:\n- Перемещение спрайта: нажмите и перетащите.\n- Перемещение точки отсчёта: используйте стрелки или удерживайте Ctrl и щёлкните по нужному месту.\n- Используйте колёсико мыши на ползунках для более точной настройки.\n\nПереназначение клавиш:\n- Нажмите кнопку состояния, которое хотите переназначить,\n затем нажмите новую клавишу.\n- Параметр «Смена состояния по вводу» перехватывает ввод даже в свёрнутом режиме, если включён.\n\nУправление отскоком:\n- Нажмите верхнюю полосу блока отскока, чтобы настроить силу отскока и гравитацию.\n\nУправление мышью:\n- Колёсико мыши: приближение и отдаление.\n- Средняя кнопка мыши: перемещение камеры.","精灵的控制操作：\n-移动精灵：单击并拖动。\n-移动原点：按方向键或按住键盘上的Ctrl键并点击原点所在的位置。\n-在滑块上的滚动鼠标滚轮，以获得更准确的结果。\n\n输入重映射：\n-点击所需状态的按钮。\n\n要重新映射并添加新按钮，请执行以下操作：\n-使用输入更改状态：如果启用，则在最小化时捕获输入。\n\n控制反弹：\n—单击右侧""模型""栏，根据需要更改反弹和重力。\n\n鼠标控制：\n-滚动滚轮以放大/缩小。\n-鼠标中键平移视角。"
TR_BASIC_DEMO,Basic Demo,Базовая модель,基本演示
TR_BG_COLOR,BG Color,Цвет фона,背景色
TR_BG_TEMP_BUTTON,Model with Background Demo,Модель с фоном,带背景的演示模型
TR_BIND_KEY,Bind Key,Назначить клавишу,绑定按键
TR_BLEND,Blend,Режим смешения,混合
TR_BLEND_ADD,Add,Сложение,线性减淡(添加)
TR_BLEND_BURN,Burn,Прожиг,加深
TR_BLEND_CURSED,Cursed,Проклятый,排除
TR_BLEND_HARDMIX,HardMix,Жёсткое смешение,实色混合
TR_BLEND_LABEL,Blend,Смешивание,混合模式
TR_BLEND_MULTIPLY,Multiply,Умножение,正片叠底
TR_BLEND_NORMAL,Normal,Обычный,正常
TR_BLEND_SUBTRACT,Subtract,Вычитание,减去
TR_BLINK_CHANCE,Blink Chance,Шанс моргания,眨眼几率
TR_BLINK_SPEED,Blink Speed,Скорость моргания,眨眼速度
TR_BLUE,Blue,Синий,蓝色
TR_BOTTOM_BAR,Bottom Bar,Нижняя панель,底部栏
TR_BOUNCE,Bounce,Прыжок,弹跳
TR_BOUNCE_AMOUNT,Bounce Amount,Сила прыжка,弹跳幅度
TR_BOUNCE_AMOUNT_TOOLTIP,Affects Model Bouncing,Влияет на силу отскока модели,影响模型弹跳
TR_BOUNCE_GRAVITY,Bounce Gravity,Гравитация прыжка,弹跳重力
TR_BOUNCE_GRAVITY_LABEL,Bounce Gravity,Гравитация прыжка,弹跳重力
TR_BOUNCE_WHEN_CHANGING_STATES,Bounce when changing states,Прыжок при смене состояния,状态切换时弹跳
TR_BOUNCY,Bouncy,Прыгучий,弹性
TR_CANCEL,Cancel,Отмена,取消
TR_CENTER_WINDOW,Center Window,Центрировать окно,窗口置于中心
TR_CHAIN_ROT_MAX,Chain Rot Max,Макс. вращение цепи,链条最大旋转
TR_CHAIN_ROT_MIN,Chain Rot Min,Мин. вращение цепи,链条最小旋转
TR_CHAIN_TARGET,Chain Target,Цель цепи,链条目标
TR_CHOOSE_DEMO,Choose Demo,Выбрать демо,选择演示模型
TR_CLIP_CHILDREN,Clip Children,Обрезать дочерние,裁剪子对象(蒙版)
TR_CLOSED,Closed,Закрытый,闭合
TR_CLOSED_LOOP,Closed Loop,Замкнутый цикл,闭环
TR_COLLAB,Collaboration,Совместная работа,协作
TR_COLOR,Color,Цвет,颜色
TR_COLOR_BLINDNESS_HELPER,Color Blindness Aid,Помощь при дальтонизме,色盲辅助功能
TR_COLOR_BLINDNESS_HELPER_TOOLTIP,An accessibility feature that helps users and viewers with color blindness view the model,Функция доступности для пользователей и зрителей с дальтонизмом,色盲辅助功能旨在帮助色盲用户和观众观看模型。
TR_COMEBACK_LABEL,Comeback,Возврат,复位力度
TR_COMMENTS_BUTTON_TOOLTIP,Comment Block,Блок комментария,注释区块
TR_COMMENTS_GO_HERE,Comments go here,Комментарии здесь,在这里输入评论
TR_CONTROLLER_LEFT,Controller (Left),Контроллер (левый),控制器 (左)
TR_CONTROLLER_RIGHT,Controller (Right),Контроллер (правый),控制器 (右)
TR_CREATE_NEW_MODEL,Create new model,Создать новую модель,创建新模型
TR_CREDITS,Credits,Авторы,致谢
TR_CROP_IMAGES_TO_CONTENT,Crop Images to Content,Обрезка изображений по содержимому,自动裁剪导入图片
TR_CURVATURE_LABEL,Curvature,Кривизна,曲率
TR_CUSTOM,Custom,Пользовательский,自定义
TR_CYCLE,Cycle,Цикл,循环
TR_CYCLE_BACKWARD_LABEL,Cycle Backward,Цикл назад,向后循环
TR_CYCLE_FORWARD_LABEL,Cycle Forward,Цикл вперёд,向前循环
TR_CYCLE_TOGGLE_LABEL,Cycle Toggle,Переключение цикла,切换循环
TR_DAMPING_X,Damping X,Затухание X,阻尼 X
TR_DAMPING_Y,Damping Y,Затухание Y,阻尼 Y
TR_DAMP_LABEL,Damp,Затухание,阻尼
TR_DARK,Dark,Тёмный,深色
TR_DARKEN,Darken,Затемнение,变暗
TR_DEBUG,Debug,Отладка,调试
TR_DEFLATE_BRUSH,Deflate Brush,Сжимающая кисть,收缩笔刷
TR_DEFORM,Deform,Деформация,形变
TR_DEFORMATION_LAYER,Deformation Layer,Слой деформации,形变图层
TR_DEFORM_BRUSH,Deform Brush,Кисть деформации,形变笔刷
TR_DELAY,Delay,Задержка,延迟
TR_DELETE,Delete,Удалить,删除
TR_DELETE_KEY,Delete Key,Удалить клавишу,删除绑键
TR_DELETE_LAYER,Delete Layer,Удалить слой,删除图层
TR_DELETE_STATE,Delete State,Удалить состояние,删除状态
TR_DEMO_MODEL,Demo Model's,Демо-модели,演示模型
TR_DESELECT,Deselect,Снять выделение,取消选中
TR_DETECT_HOTKEYS,Detect Hotkeys,Отслеживать горячие клавиши,检测热键
TR_DETECT_HOTKEYS_TOOLTIP,Making the software able to change States and other toggles using Hotkeys.,Позволяет менять состояния и переключатели с помощью горячих клавиш.,使软件能够使用热键更改状态和其他切换效果。
TR_DEUTERANOPIA,Deuteranopia,Дейтеранопия,绿色盲
TR_DISABLED,Disabled,Отключено,禁用
TR_DISABLE_FOLLOW,Disable Follow Movement,Отключить следование,禁用跟随运动
TR_DISABLE_MOVE,Disable Movement,Отключить движение,禁用运动
TR_DISAPPEAR_KEYS,Hide Key(s),Клавиши скрытия,消失按键
TR_DONT_HIDE,Don't Hide,Не скрывать,不要隐藏
TR_DONT_HIDE_ON_TOGGLE_TOOLTIP,Shows the Asset only and doesn't hide it even when key is pressed again.,Показывает ресурс и не скрывает его при повторном нажатии клавиши.,仅显示资源，即使再次按下绑定的按键也不会隐藏。
TR_DUPLICATE_STATE,Duplicate State,Дублировать состояние,复制状态
TR_EDIT,Edit,Правка,编辑
TR_EDITOR,Editor,Редактор,编辑模式
TR_EDIT_VALUES_FOR_LABEL,Editing Values,Редактирование значений,编辑值
TR_EFFECTS,Effects,Эффекты,效果
TR_EFFECT_COLOR,Effect Color,Цвет эффекта,效果颜色
TR_EFFECT_HYPER,Hyper,Гипер,炫彩
TR_EFFECT_RAINBOW_SPEED,Rainbow Speed,Скорость радуги,彩虹速度
TR_EFFECT_SELF_RAINBOW,Self Rainbow,Радуга на объекте,自发光彩虹
TR_EFFECT_SIZE,Effect Size,Размер эффекта,效果尺寸
TR_EPLISION,Epsilon,Эпсилон,容差
TR_EXPORT_MODEL_PARTS,Export Model Parts,Экспорт частей модели,导出模型部件
TR_EYE_ANIMATIONS,Eye Animations,Анимация глаз,眼部动画
TR_EYE_STYLE,Eye Style,Стиль глаз,眼睛样式
TR_FADE,Fade,Исчезновение,状态淡入淡出
TR_FADES,Fades,Исчезает,淡入淡出
TR_FADE_ASSET,Fade Asset,Исчезающий ресурс,资源淡入淡出
TR_FADE_ASSET_PARAM,Fade Asset,Исчезающий ресурс,资源淡入淡出
TR_FADE_PARAM,Fade,Исчезновение,状态淡入淡出
TR_FANCY_COURSOR_EDITOR,Fancy Cursor in Editor,Особый курсор в редакторе,自定义光标(编辑器中)
TR_FANCY_COURSOR_PREVIEW,Fancy Cursor in Preview,Особый курсор в предпросмотре,自定义光标(预览中)
TR_FAQ_FULL,"Who made this software?\n- TheMime (me) is the current main dev, buuut community help is still open and appreciated!\n\nIs this really PNGTubing or Vtubing or ???\n- This form of PNGTubing is the closest thing to Vtubing. Consider it a middle point I guess, lol. Still not as complex as real Vtuber models, so I personally think it is PNGTubing still!\n\nWhy is some of the code a bit of a mess?\n- When I first made this software, I barely knew much about coding, I won't lie when I tell you some code is embarrassing and I hope to improve it myself or with community help. You can find the source code's link in the credits!\n\nYou mentioned ToonTubing in the ""What is PNGTubing?"" tab. Will this ever get supported?\n- Maybe","Кто сделал это приложение?\n- TheMime (я) — текущий основной разработчик, но помощь сообщества всё ещё приветствуется!\n\nЭто PNGTubing, Vtubing или что?\n- Эта форма PNGTubing максимально близка к Vtubing. Считай это чем‑то посередине, лол. Всё ещё не настолько сложно, как настоящие Vtuber‑модели, так что я всё равно считаю это PNGTubing.\n\nПочему код местами выглядит странно?\n- Когда я начинал делать это приложение, я почти не умел программировать. Не буду врать, часть кода стыдная, и я хочу улучшить его сам или с помощью сообщества. Ссылка на исходники есть в титрах.\n\nТы упоминал ToonTubing во вкладке «What is PNGTubing?». Он будет поддерживаться?\n- Может быть.","这个软件是谁做的？\n- TheMime（我）是目前的主要开发人员，但但但是社区的帮助仍然是开放和值得赞赏的！\n\n这真的是PNGTubing还是Vtubing，还是？？？\n- 这种形式的PNGTubing是最接近Vtubing的东西。我想这是一个中间点，哈哈。仍然没有真正的Vtuber模型那么复杂，所以我个人认为它仍然是PNGTubing！\n\n为什么有些代码有点乱？\n- 当我第一次制作这个软件时，我对编码知之甚少。说真的一些代码看起来很尴尬，我也希望自己或在社区的帮助下能够改进它。你可以在Credits中找到源代码的链接！\n\n你在""什么是PNGTubing？""选项卡提到了ToonTubing。这会得到支持吗？\n- 或许会我目前正在制作一个个人（私人）演示，添加一种易于理解的可视化脚本系统，以便能够提取这类东西。 祝我好运，哈哈！\n\n我该如何支持这个项目？\n- 你可以简单地分享它（但请不要烦人），并展示你用它制作的模型。在某个时候给软件增加代码贡献会很好！\n\n（如果我有更常见的问题，会把它们放在这里！）"
TR_FAT_POINT,Point,Точка,点
TR_FILES,Files,Файлы,文件
TR_FILE_DIALOG_TITLE,Open Files,Открыть файлы,打开文件
TR_FILE_MANAGER,File Manager,Файловый менеджер,文件管理器
TR_FILE_SYSTEM,File System,Файловая система,文件系统
TR_FLIP_H,Flip Horizontally,Отразить по горизонтали,水平翻转
TR_FLIP_SPRITE_HORIZONTALLY,Flip Sprite Image Horizontally,Перевернуть изображение спрайта по горизонтали,水平翻转精灵图像
TR_FLIP_SPRITE_VERTICALLY,Flip Sprite Image Vertically,Перевернуть изображение спрайта по вертикали,垂直翻转精灵图像
TR_FLIP_V,Flip Vertically,Отразить по вертикали,垂直翻转
TR_FLOAT,Float,Плавание,浮动
TR_FLOATY_PANNING,Smooth Panning,Плавное панорамирование,平滑移动
TR_FLOATY_PANNING_TOOLTIP,When turned on panning in the editor will be smooth instead of snappy,"При включении панорамирование в редакторе будет плавным, а не резким",启用后，编辑器中的平移将是平滑的，而不是快速的。
TR_FM_DELAY,Delay,Задержка,延迟
TR_FM_MAX_ROT,Max-Rot,Макс поворот,最大旋转
TR_FM_MAX_SQUISH_X,Squish X,Сжатие X,挤压 X
TR_FM_MAX_SQUISH_Y,Squish Y,Сжатие Y,挤压 Y
TR_FM_MIN_ROT,Min-Rot,Мин поворот,最小旋转
TR_FM_RANGE_X,Range X,Диапазон X,范围 X
TR_FM_RANGE_Y,Range Y,Диапазон Y,范围 Y
TR_FOLLOW,Follow,Слежение,跟随
TR_FOLLOW_APPENDAGE,Follow Appendage,Слежение за придатком,跟随上级附件
TR_FOLLOW_APPENDAGE_TIP,Follow Appendage Tip,Следовать за концом придатка,使当前附件的根部在上级附件的指定点上跟随
TR_FOLLOW_EYE,Follow Eye,Следование за глазом,跟随眼睛
TR_FOLLOW_GAZE,Follow Gaze,Следование за взглядом,跟随视线
TR_FOLLOW_JOYPAD_DEMO,Joypad Demo,Геймпад,手柄跟随演示
TR_FOLLOW_MOUSE,Follow Movement,Следовать за движением,跟随移动
TR_FOLLOW_MOUSE_DEMO,Follow Mouse Demo,Слежение за мышью,跟随鼠标演示
TR_FOLLOW_MOUSE_SCREEN_LABEL,Mouse Follow Screen,Экран слежения за мышью,鼠标跟随生效屏幕
TR_FOLLOW_MOVEMENT,Follow Movement,Слежение за движением,跟随移动
TR_FOLLOW_POSITION_LABEL,Follow Option (Position),Позиция,跟随选项（位置）
TR_FOLLOW_ROTATION_LABEL,Follow Option (Rotation),Поворот,跟随选项（旋转）
TR_FOLLOW_SCALE_LABEL,Follow Option (Scale),Масштаб,跟随选项（比例）
TR_FOLLOW_SCALE_NOT,Small note:\nscale changes based on mouse position still need work and may change in future releases.,Примечание:\nмасштабирование по положению мыши ещё дорабатывается и может измениться в будущих версиях.,小提示\n根据鼠标位置的缩放变化效果仍需要一些改进，在以后的版本中可能会感觉或看起来有点不同。
TR_FOLLOW_SPEED,Follow Speed,Скорость слежения,跟随速度
TR_FOLLOW_THROUGH,Follow Through,Последействие,跟随对象
TR_FOLLOW_WOBBLE,Wobble Movement,Покачивание,摆动移动
TR_FOR_TESTING_LABEL,For testing only,Только для тестирования,仅供测试
TR_FRAME_LABEL,Frame,Кадр,帧
TR_FRUTIGER_AERO,Frutiger Aero,Фрутигер аэро,Frutiger Aero
TR_FT_DRAG,Drag,Сопротивление,拖动
TR_FT_STRETCH,Stretch,Растяжение,挤压
TR_FULL_CREDITS,PNGTuber Remix by TheMime\nImproved UI by LeoRson\nWebSocket code by vj4,PNGTuber Remix — TheMime\nУлучшенный интерфейс — LeoRson\nКод WebSocket — vj4,PNGTuber Remix by TheMime(MudkipWorld)\n 更好的用户界面 by LeoRson \n\nV1.3.4
TR_FUNKY,Funky,Фанк,Funky
TR_GENERATION,Generation,Генерация,生成
TR_GEN_CORNERS,Generate Corners,Создать углы,生成顶点
TR_GEN_FLIPPED,Generate Mirrored,Сгенерировать зеркальную,生成翻转
TR_GEN_MESH,Generate Mesh,Создать сетку,生产网格
TR_GEN_PRESERVED,Regenerate Preserved Mesh,Пересоздать сохранённую сетку,重新生成保存的网格
TR_GRAVITY_X_LABEL,Gravity X,Гравитация по X,重力-X
TR_GRAVITY_Y_LABEL,Gravity Y,Гравитация по Y,重力-Y
TR_GRAY,Gray,Серый,灰色
TR_GREEN,Green,Зелёный,绿色
TR_GRID_SIZE,Grid Size,Размер сетки,网格尺寸
TR_GROUPS,Groups,Группы,组
TR_HATCHES,Hatches,Штрихи,交叉影线
TR_HEX_RADIAL,Hex Radial,Шестигранный радиальный,六边形放射
TR_HIDDEN_ITEM,Hidden Item,Скрытый элемент,隐藏物体
TR_HOLD_TO_SHOW,Hold to Show,Показывать при удержании,长按显示
TR_HOLD_TO_SHOW_TOOLTIP,Hovering over some buttons shows a tooltip explaining what they do,При наведении на некоторые кнопки появляется подсказка с пояснением,悬停在部分按钮上会显示说明其功能的提示
TR_HOT_KEY_LABEL,Hot Key,Горячая клавиша,热键
TR_IDLE,Idle,Покой,闲置
TR_IGNORE_BOUNCE,Ignore Bounce,Игнорировать прыжок,运动忽略弹跳影响
TR_IMAGE,Image,Изображение,图像
TR_IMAGES,Images,Изображения,图像
TR_IMAGE_LIMIN_WARNING,One of your images exceeds the recommended limit (1280x1280),Одно из изображений превышает рекомендуемый размер (1280x1280),你的其中一张图片超过了建议限制 (1280x1280)
TR_IMAGE_USED_BY_NO_SPRITES,This image is currently used by 0 sprites. Deleting it will add a placeholder.\n(It can be replaced later),Сейчас это изображение не используется ни одним спрайтом. При удалении будет добавлен заполнитель.\n(Его можно заменить позже),"此图像当前未被任何精灵使用。删除它将添加一个占位符。
(之后可以替换)"
TR_IMPORT,Import,Импортировать,导入
TR_INDEX_X,Index X,Индекс X,X-影响图层排序
TR_INDEX_Y,Index Y,Индекс Y,Y-影响图层排序
TR_INFLATE_BRUSH,Inflate Brush,Раздвигающая кисть,膨胀笔刷
TR_INFLUENCE,Influence,Влияние,影响
TR_INNER_POINTS,Inner Points,Внутренние точки,内部点
TR_INSPECTOR,Inspector,Инспектор,检查器
TR_INVERT_POS_X,Invert Pos X,Инвертировать позицию X,反转位置 X
TR_INVERT_POS_Y,Invert Pos Y,Инвертировать позицию Y,反转位置 Y
TR_IS_ASSET,Is Asset,Это ресурс,是切换资源
TR_IS_ASSET_TOOLTIP,"An Asset is a Sprite you can toggle at any time. I.e glasses, hats, etc..","Ресурс — это спрайт, который можно включать и отключать в любой момент (например, очки, шляпы и т.п.).",资源是一种可以随时切换的精灵。即眼镜、帽子等...
TR_IS_CYCLE_ASSET,Is Cycle Asset,Циклический ресурс,是循环资源
TR_JITTER_FIX,Jitter Fix,Исправление джиттера,抖动修正
TR_KEEP_DATA_BEFORE_TRIM,Keep Data Before Trim,Сохранить данные перед обрезкой,保留裁剪前的数据
TR_KEEP_DATA_BEFORE_TRIM_TOOLTIP,"Keeps a save of the Sprites before trimming. If toggled off, the file will only save the trimmed Sprites","Сохраняет спрайты перед обрезкой. Если отключено, файл сохранит только обрезанные спрайты",在修剪之前保存精灵。如果关闭此选项，文件将仅保存修剪过的精灵。
TR_KEEP_LENGTH,Keep Length,Сохранять длину,保持长度
TR_LANGUAGE_LABEL,Language,Язык,语言
TR_LAYER,Layer,Слой,图层
TR_LAYOUT,Layout,Разметка,布局
TR_LEFT_EYE,Left eye,Левый глаз,左眼
TR_LENGTH_LABEL,Length,Длина,长度
TR_LIGHT_COLOR,Light Color,Цвет света,灯光颜色
TR_LIGHT_ENERGY,Light Energy,Интенсивность света,灯光强度
TR_LIGHT_SETTINGS,Light Settings,Настройки освещения,灯光设置
TR_LIGHT_SHAPE_VISIBLE,Show Light Shape,Показать форму света,显示灯光形状
TR_LIGHT_SIZE,Light Size,Размер источника света,灯光尺寸
TR_LIGHT_VISIBLE,Show Light,Показать свет,显示灯光
TR_LIP_SYNC_CONFIG,Lip Sync Settings,Настройки синхронизации губ,嘴型同步设置
TR_LOAD,Load,Загрузить,加载
TR_LOAD_LIPSYNC_FILE,Load Lip Sync File,Загрузить файл синхронизации губ,加载口型同步文件
TR_LOCK_SIZE,Lock Size,Зафиксировать размер,锁定尺寸
TR_LS_DARKEN_TOOLTIP,Darkens the model when not speaking,"Затемняет модель, когда не говорит",不说话时使模型变暗。
TR_MAGENTA,Magenta,Пурпурный,品红
TR_MAIN_VIEW_ZOOM_RESET,Main-View Zoom Reset,Сброс масштаба основного вида,主视图缩放重置
TR_MASS_X,Mass X,Масса X,质量 X
TR_MASS_Y,Mass Y,Масса Y,质量 Y
TR_MAX_ANGLE_LABEL,Max Angle,Максимальный угол,最大角度
TR_MAX_CURVE_LABEL,Max Curve,Максимальная кривизна,最大曲率
TR_MAX_FPS,Max FPS,Максимальный FPS,最大帧数
TR_MAX_MOUSE_ROTATION,Maximum Mouse Rotation,Максимальное вращение мышью,最大鼠标旋转
TR_MAX_ROTATION_LABEL,Max Rotation,Максимальное вращение,最大旋转
TR_MAX_STRETCH,Max Stretch,Максимальное растяжение,最大拉伸
TR_MERGE_POINTS_SPACE,Point Merge Distance,Расстояние слияния точек,点合并距离
TR_MESH_CONTROL,Mesh Control,Управление сеткой,网格控制
TR_MESH_TEXTURE,Mesh Texture,Текстура сетки,网格纹理
TR_MICROPHONE_LABEL,Microphone,Микрофон,麦克风
TR_MOUSE_INPUT_AREA,(Mouse Bind Capture Area),(Область захвата ввода мыши),(鼠标绑定捕获区)
TR_MINI_TUTORIAL,Mini Tutorial (WIP),Мини-руководство (в разработке),迷你教程 (WIP)
TR_MINI_VIEW,Mini-View,Мини‑вид,迷你视图
TR_MINI_VIEW_TOOLTIP,Mini-View,Мини‑вид,迷你视图
TR_MINI_VIEW_ZOOM_IN,Mini-View Zoom In,Приближение мини-вида,迷你视图放大
TR_MINI_VIEW_ZOOM_OUT,Mini-View Zoom Out,Отдаление мини-вида,小视图缩小
TR_MINUTE_ABBREVIATION,min,мин,min
TR_MIN_CURVE_LABEL,Min Curve,Мин. кривизна,最小曲率
TR_MIN_MOUSE_ROTATION,Minimum Mouse Rotation,Минимальное вращение мыши,最小鼠标旋转
TR_MIN_ROTATION_LABEL,Min Rotation,Мин. вращение,最小旋转
TR_MIRROR_REACTION_H,Mirror Reaction H,Отзеркалить реакцию по горизонтали,镜像反应 H
TR_MISC,Misc,Разное,杂项
TR_MODE,Mode,Режим,模式
TR_MODEL,Model,Модель,模型
TR_MODEL_ANIMATIONS,Model Animations,Анимации модели,模型动画
TR_MODEL_EFFECT,Model Effect,Эффекты модели,模型效果
TR_MODEL_NOTE,"Due to this being a destructive action, this will save a new Model with «Optimized» next to the original file.\nGIF optimization isn't supported.","Поскольку это деструктивное действие, рядом с исходным файлом будет сохранена новая модель с пометкой «Оптимизировано».\nОптимизация GIF-файлов не поддерживается.","由于这是不可逆操作，将在原文件旁另存一个带「优化」的新模型。
不支持 GIF 优化。"
TR_MODEL_OPTIMIZER_RESIZE_MODEL,Resize Model,Изменить размер модели,调整模型尺寸
TR_MODEL_OPTIMIZER_RESIZE_PERCENTAGE,Resize Percentage,Процент изменения,调整百分比
TR_MODEL_OPTIMIZER_TITLE,Model Optimizer (UNSTABLE),Оптимизатор модели (НЕСТАБИЛЬНО),模型优化器 (不稳定)
TR_MODEL_OPTIMIZER_TRIM_IMAGES,Trim Images,Обрезать изображения,裁剪图像
TR_MOMENTUM_LABEL,Momentum,Инерция,动量
TR_MOTION_TYPE,Motion Type,Тип движения,运动类型
TR_MOUSE,Mouse,Мышь,鼠标
TR_MOUSE_VELOCITY,Mouse Velocity,Скорость мыши,跟随基于鼠标速度
TR_MOUTH,Mouth,Рот,嘴巴
TR_MOUTH_CLOSED,Mouth Closed,Рот закрыт,嘴巴闭合
TR_MOUTH_OPEN,Mouth Open,Рот открыт,嘴巴张开
TR_MOUTH_OPEN_LABEL,Mouth Open,Рот открыт,嘴巴张开
TR_MOUTH_TRACKING_STRENGTH,Mouth Tracking Strength,Сила отслеживания рта,嘴部追踪强度
TR_MOVEMENT,Movement,Движение,运动
